英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　GavonyUnhallowed,ガヴォニーの不浄なるもの（がう゛ぉにーのふじょうなるもの）,　2,4,　コモン,　クリーチャー,　３黒,あなたがコントロールする他のクリーチャーが１体死亡するたび、ガヴォニーの不浄なるものの上に+1/+1カウンターを１個置く。
　GrafHarvest,墓の収穫（はかのしゅうかく）,　2,4,　アンコモン,　エンチャント,　黒,あなたがコントロールするゾンビ(Zombie)は威迫を持つ。（それらは２体以上のクリーチャーによってしかブロックされない。）(３)(黒) あなたの墓地からクリーチャー・カード１枚を追放する：黒の2/2のゾンビ・クリーチャー・トークンを１体戦場に出す。
　GrafRats,墓ネズミ（はかねずみ）,　2,1,　コモン,　クリーチャー,　１黒,あなたのターンの戦闘の開始時に、あなたが墓ネズミと《夜深の死体あさり/MidnightScavengers》という名前のクリーチャーを１体コントロールしているとともにそれらのオーナーでもある場合、それらを追放し、その後それらを《騒がしい徒党/ChitteringHost》へと合体させる。
　HauntedDead,憑依された死体（ひょういされたしたい）,　2,2,　アンコモン,　クリーチャー,　３黒,憑依された死体が戦場に出たとき、飛行を持つ白の1/1のスピリット(Spirit)・クリーチャー・トークンを１体戦場に出す。(１)(黒) カード２枚を捨てる：あなたの墓地から憑依された死体をタップ状態で戦場に戻す。
　Liliana theLastHope,最後の望み、リリアナ（さいごののぞみりりあな）,　2,2,　神話レア,　プレインズウォーカー,　１黒黒,[+1]：クリーチャー最大１体を対象とする。あなたの次のターンまで、それは-2/-1の修整を受ける。[-2]：あなたのライブラリーの一番上からカードを２枚あなたの墓地に置く。その後、あなたはあなたの墓地からクリーチャー・カード１枚をあなたの手札に戻してもよい。[-7]：あなたは「あなたの終了ステップの開始時に、黒の2/2のゾンビ(Zombie)・クリーチャー・トークンをＸ体戦場に出す。Ｘはあなたがコントロールするゾンビの総数に２を足した数に等しい。」を持つ紋章を得る。　忠誠度：3
　Liliana'sElite,リリアナの精鋭（りりあなのせいえい）,　1,1,　アンコモン,　クリーチャー,　２黒,リリアナの精鋭は、あなたの墓地にあるクリーチャー・カード１枚につき+1/+1の修整を受ける。
　MarkovCrusader,マルコフの十字軍（まるこふのじゅうじぐん）,　4,3,　アンコモン,　クリーチャー,　４黒,絆魂あなたが他の吸血鬼(Vampire)をコントロールしているかぎり、マルコフの十字軍は速攻を持つ。
　ChitteringHost,騒がしい徒党（さわがしいととう）,　5,6,　コモン,　クリーチャー,　４黒,夜深の死体あさりが戦場に出たとき、あなたの墓地から点数で見たマナ・コストが３以下のクリーチャー・カード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。（《墓ネズミ/GrafRats》と合体する。）速攻威迫（このクリーチャーは２体以上のクリーチャーによってしかブロックされない。）騒がしい徒党が戦場に出たとき、ターン終了時まで、あなたがコントロールする他のクリーチャーは+1/+0の修整を受けるとともに威迫を得る。
　Murder,殺害（さつがい）,　5,6,　アンコモン,　インスタント,　１黒黒,クリーチャー１体を対象とし、それを破壊する。
　NoosegrafMob,絞墓の群衆（こうぼのぐんしゅう）,　0,0,　レア,　クリーチャー,　４黒黒,絞墓の群衆は+1/+1カウンターが５個置かれた状態で戦場に出る。プレイヤーが呪文を１つ唱えるたび、絞墓の群衆の上から+1/+1カウンターを１個取り除く。そうしたなら、黒の2/2のゾンビ(Zombie)・クリーチャー・トークンを１体戦場に出す。
　OathofLiliana,リリアナの誓い（りりあなのちかい）,　0,0,　レア,　伝説のエンチャント,　２黒,リリアナの誓いが戦場に出たとき、各対戦相手はそれぞれクリーチャー１体を生け贄に捧げる。各終了ステップの開始時に、そのターンにプレインズウォーカーがあなたのコントロール下で戦場に出ていた場合、黒の2/2のゾンビ(Zombie)・クリーチャー・トークンを１体戦場に出す。
　Olivia'sDragoon,オリヴィアの竜騎兵（おりう゛ぃあのりゅうきへい）,　2,2,　コモン,　クリーチャー,　１黒,カード１枚を捨てる：ターン終了時まで、オリヴィアの竜騎兵は飛行を得る。
　PryingQuestions,詮索（せんさく）,　2,2,　アンコモン,　ソーサリー,　２黒,対戦相手１人を対象とする。そのプレイヤーは３点のライフを失うとともに自分の手札からカード１枚を自分のライブラリーの一番上に置く。
　RisefromtheGrave,墓場からの復活（はかばからのふっかつ）,　2,2,　アンコモン,　ソーサリー,　４黒,いずれかの墓地にあるクリーチャー・カード１枚を対象とし、それをあなたのコントロール下で戦場に出す。そのクリーチャーは、それの他の色とタイプに加えて黒でありゾンビ(Zombie)である。
　RuthlessDisposal,無情な処分（むじょうなしょぶん）,　2,2,　アンコモン,　ソーサリー,　４黒,無情な処分を唱えるための追加コストとして、カード１枚を捨てるとともにクリーチャー１体を生け贄に捧げる。クリーチャー２体を対象とする。ターン終了時まで、それらはそれぞれ-13/-13の修整を受ける。
　SkirsdagSupplicant,スカースダグの嘆願者（すかーすだぐのたんがんしゃ）,　2,3,　コモン,　クリーチャー,　２黒,(黒) (Ｔ) カード１枚を捨てる：各プレイヤーはそれぞれ２点のライフを失う。
　StrangeAugmentation,奇妙な増強（きみょうなぞうきょう）,　2,3,　コモン,　エンチャント,　黒,エンチャント（クリーチャー）エンチャントされているクリーチャーは+1/+1の修整を受ける。昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、エンチャントされているクリーチャーは追加で+2/+2の修整を受ける。
　StromkirkCondemned,流城の死刑囚（りゅうじょうのしけいしゅう）,　2,2,　レア,　クリーチャー,　黒黒,カード１枚を捨てる：ターン終了時まで、あなたがコントロールする吸血鬼(Vampire)は+1/+1の修整を受ける。この能力は、毎ターン１回のみ起動できる。
　SuccumbtoTemptation,誘惑に負けて（ゆうわくにまけて）,　2,2,　コモン,　インスタント,　１黒黒,あなたはカードを２枚引き、あなたは２点のライフを失う。
　ThrabenFoulbloods,スレイベンの異血種（すれいべんのいけつしゅ）,　3,2,　コモン,　クリーチャー,　２黒,昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、スレイベンの異血種は+1/+1の修整を受けるとともに威迫を持つ。（威迫を持つクリーチャーは２体以上のクリーチャーによってしかブロックされない。）
　TreeofPerdition,地獄の樹（じごくのき）,　0,13,　神話レア,　クリーチャー,　３黒,防衛(Ｔ)：対戦相手１人を対象とする。そのプレイヤーのライフの総量と地獄の樹のタフネスを交換する。
　VampireCutthroat,吸血鬼の殺し屋（きゅうけつきのころしや）,　1,1,　アンコモン,　クリーチャー,　黒,潜伏（このクリーチャーは、これより大きなパワーを持つクリーチャーによってはブロックされない。）絆魂（このクリーチャーがダメージを与えると、さらにあなたはその点数分のライフを得る。）
　AbolisherofBloodlines,血統の撤廃者（けっとうのてっぱいしゃ）,　6,5,　レア,　クリーチャー,　３黒黒,飛行他のクリーチャー３体を生け贄に捧げる：ヴォルダーレンの下層民を変身させる。マッドネス(黒)(黒)(黒)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）飛行このクリーチャーが血統の撤廃者に変身したとき、対戦相手１人を対象とする。そのプレイヤーはクリーチャー３体を生け贄に捧げる。
　WailingGhoul,嘆きのグール（なげきのぐーる）,　1,3,　コモン,　クリーチャー,　１黒,嘆きのグールが戦場に出たとき、あなたのライブラリーの一番上からカードを２枚あなたの墓地に置く。
　WeirdedVampire,不気味な吸血鬼（ぶきみなきゅうけつき）,　3,3,　コモン,　クリーチャー,　３黒,マッドネス(２)(黒)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　WhispersofEmrakul,エムラクールの囁き（えむらくーるのささやき）,　3,3,　アンコモン,　ソーサリー,　１黒,対戦相手１人を対象とする。そのプレイヤーはカード１枚を無作為に選んで捨てる。昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるなら、代わりに、そのプレイヤーはカード２枚を無作為に選んで捨てる。
　AbandonReason,自暴自棄（じぼうじき）,　3,3,　アンコモン,　インスタント,　２赤,クリーチャー最大２体を対象とする。ターン終了時まで、それらはそれぞれ+1/+0の修整を受けるとともに先制攻撃を得る。マッドネス(１)(赤)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　Alchemist'sGreeting,錬金術師の挨拶（れんきんじゅつしのあいさつ）,　3,3,　コモン,　ソーサリー,　４赤,クリーチャー１体を対象とする。錬金術師の挨拶はそれに４点のダメージを与える。マッドネス(１)(赤)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　AssembledAlphas,集合した頭目（しゅうごうしたとうもく）,　5,5,　レア,　クリーチャー,　５赤,集合した頭目がクリーチャーを１体ブロックするかクリーチャーが１体集合した頭目をブロックした状態になるたび、集合した頭目はそのクリーチャーに３点のダメージを与え、そのクリーチャーのコントローラーに３点のダメージを与える。
　BedlamReveler,騒乱の歓楽者（そうらんのかんらくしゃ）,　3,4,　レア,　クリーチャー,　６赤赤,騒乱の歓楽者を唱えるためのコストは、あなたの墓地にあるインスタント・カード１枚とソーサリー・カード１枚につき(１)少なくなる。果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）騒乱の歓楽者が戦場に出たとき、あなたの手札を捨て、その後カードを３枚引く。
　BloodMist,血の霧（ちのきり）,　3,4,　アンコモン,　エンチャント,　３赤,あなたのターンの戦闘の開始時に、あなたがコントロールするクリーチャー１体を対象とする。ターン終了時まで、それは二段攻撃を得る。
　BoldImpaler,大胆な刺突者（だいたんなしとつしゃ）,　1,2,　コモン,　クリーチャー,　赤,(２)(赤)：ターン終了時まで、大胆な刺突者は+2/+0の修整を受ける。
　BorrowedHostility,敵意借用（てきいしゃくよう）,　1,2,　コモン,　インスタント,　赤,増呪(３)（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つまたは両方を選ぶ。・クリーチャー１体を対象とする。ターン終了時まで、それは+3/+0の修整を受ける。・クリーチャー１体を対象とする。ターン終了時まで、それは先制攻撃を得る。
　BrazenWolves,猛々しい狼（たけだけしいおおかみ）,　2,3,　コモン,　クリーチャー,　２赤,猛々しい狼が攻撃するたび、ターン終了時までこれは+2/+0の修整を受ける。
　CollectiveDefiance,集団的抵抗（しゅうだんてきていこう）,　2,3,　レア,　ソーサリー,　１赤赤,増呪(１)（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つ以上を選ぶ。・プレイヤー１人を対象とする。そのプレイヤーは、自分の手札からカードをすべて捨て、その後その枚数に等しい枚数のカードを引く。・クリーチャー１体を対象とする。集団的抵抗はそれに４点のダメージを与える。・対戦相手１人を対象とする。集団的抵抗はそのプレイヤーに３点のダメージを与える。
　ConduitofEmrakul,エムラクールの伝導者（えむらくーるのでんどうしゃ）,　5,4,　アンコモン,　クリーチャー,　２赤,嵐の伝導者が攻撃するたび、このターン、次のあなたのメイン・フェイズの開始時に、あなたのマナ・プールに(赤)を加える。(３)(赤)(赤)：嵐の伝導者を変身させる。エムラクールの伝導者が攻撃するたび、このターン、次のあなたのメイン・フェイズの開始時に、あなたのマナ・プールに(◇)(◇)を加える。
　DerangedWhelp,狂乱した仔（きょうらんしたこ）,　2,1,　アンコモン,　クリーチャー,　１赤,威迫（このクリーチャーは２体以上のクリーチャーによってしかブロックされない。）
　DistemperoftheBlood,血の不穏（ちのふおん）,　2,1,　コモン,　ソーサリー,　１赤,クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受けるとともにトランプルを得る。マッドネス(赤)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　FalkenrathReaver,ファルケンラスの肉裂き（ふぁるけんらすのにくさき）,　2,2,　コモン,　クリーチャー,　１赤,
　FurybladeVampire,怒り刃の吸血鬼（いかりやいばのきゅうけつき）,　1,2,　アンコモン,　クリーチャー,　１赤,トランプルあなたのターンの戦闘の開始時に、あなたはカード１枚を捨ててもよい。そうしたなら、ターン終了時まで、怒り刃の吸血鬼は+3/+0の修整を受ける。
　GalvanicBombardment,流電砲撃（りゅうでんほうげき）,　1,2,　コモン,　インスタント,　赤,クリーチャー１体を対象とする。流電砲撃はそれにＸ点のダメージを与える。Ｘは、あなたの墓地にある《流電砲撃/GalvanicBombardment》と言う名前のカードの枚数に２を足した数に等しい。
　Hanweir theWrithingTownship,のたうつ居住区、ハンウィアー（のたうつきょじゅうくはんうぃあー）,　7,4,　レア,　伝説のクリーチャー,　２赤,ハンウィアー守備隊が攻撃するたび、赤の1/1の人間(Human)クリーチャー・トークンを２体タップ状態で攻撃している状態で戦場に出す。（《ハンウィアーの要塞/HanweirBattlements》と合体する。）トランプル、速攻のたうつ居住区、ハンウィアーが攻撃するたび、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを２体、タップ状態で攻撃している状態で戦場に出す。
　HarmlessOffering,無害な申し出（むがいなもうしで）,　7,4,　レア,　ソーサリー,　２赤,対戦相手１人とあなたがコントロールするパーマネント１つを対象とする。そのプレイヤーはそのパーマネントのコントロールを得る。
　ImpetuousDevils,性急な悪魔（せいきゅうなあくま）,　6,1,　レア,　クリーチャー,　２赤赤,トランプル、速攻性急な悪魔が攻撃したとき、防御プレイヤーがコントロールするクリーチャー最大１体を対象とする。この戦闘で、それは可能ならこれをブロックする。終了ステップの開始時に、性急な悪魔を生け贄に捧げる。
　IncendiaryFlow,焼夷流（しょういりゅう）,　6,1,　アンコモン,　ソーサリー,　１赤,クリーチャー１体かプレイヤー１人を対象とする。焼夷流はそれに３点のダメージを与える。このターン、これによりダメージを与えられたクリーチャーが死亡するなら、代わりにそれを追放する。
　InsatiableGorgers,強欲な過食者（ごうよくなかしょくしゃ）,　5,3,　アンコモン,　クリーチャー,　２赤赤,各戦闘で、強欲な過食者は可能なら攻撃する。マッドネス(３)(赤)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　MakeMischief,悪戯（いたずら）,　5,3,　コモン,　ソーサリー,　２赤,クリーチャー１体かプレイヤー１人を対象とする。悪戯はそれに１点のダメージを与える。赤の1/1のデビル(Devil)・クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーが死亡したとき、クリーチャー１体かプレイヤー１人を対象とする。このクリーチャーは、それに１点のダメージを与える。」を持つ。
　MirrorwingDragon,鏡翼のドラゴン（きょうよくのどらごん）,　4,5,　神話レア,　クリーチャー,　３赤赤,飛行プレイヤーが鏡翼のドラゴンのみを対象とするインスタント呪文かソーサリー呪文を１つ唱えるたび、そのプレイヤーは、その呪文が対象にできるそのプレイヤーがコントロールする他のクリーチャー１体につき、その呪文を１回コピーする。各コピーは、それらのクリーチャーのうち別々のものを対象とする。
　Nahiri'sWrath,ナヒリの怒り（なひりのいかり）,　4,5,　神話レア,　ソーサリー,　２赤,ナヒリの怒りを唱えるための追加コストとして、カードＸ枚を捨てる。クリーチャーやプレインズウォーカー最大Ｘ体を対象とする。ナヒリの怒りはそれらにそれぞれ、捨てたカードの点数で見たマナ・コストの合計に等しい点数のダメージを与える。
　OtherworldlyOutburst,異世界の発露（いせかいのはつろ）,　4,5,　コモン,　インスタント,　赤,クリーチャー１体を対象とする。ターン終了時まで、それは+1/+0の修整を受ける。このターン、そのクリーチャーが死亡したとき、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。
　PropheticRavings,予言的妄語（よげんてきもうご）,　4,5,　コモン,　エンチャント,　赤,エンチャント（クリーチャー）エンチャントされているクリーチャーは速攻と「(Ｔ) カード１枚を捨てる：カードを１枚引く。」を持つ。
　SavageAlliance,粗暴な協力（そぼうなきょうりょく）,　4,5,　アンコモン,　インスタント,　２赤,増呪(１)（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つ以上を選ぶ。・プレイヤー１人を対象とする。ターン終了時まで、そのプレイヤーがコントロールするクリーチャーはトランプルを得る。・クリーチャー１体を対象とする。粗暴な協力はそれに２点のダメージを与える。・対戦相手１人を対象とする。粗暴な協力はそのプレイヤーがコントロールする各クリーチャーにそれぞれ１点のダメージを与える。
　ShredsofSanity,正気の欠片（しょうきのかけら）,　4,5,　アンコモン,　ソーサリー,　２赤,あなたの墓地から、インスタント・カード最大１枚とソーサリー・カード最大１枚を対象とし、それらをあなたの手札に戻す。その後、カード１枚を捨てる。正気の欠片を追放する。
　EruptingDreadwolf,噴出する戦慄狼（ふんしゅつするせんりつおおかみ）,　6,4,　アンコモン,　クリーチャー,　２赤赤,くすぶる狼男が戦場に出たとき、クリーチャー最大２体を対象とする。くすぶる狼男はそれらにそれぞれ１点のダメージを与える。(４)(赤)(赤)：くすぶる狼男を変身させる。噴出する戦慄狼が攻撃するたび、クリーチャー１体かプレイヤー１人を対象とする。噴出する戦慄狼はそれに２点のダメージを与える。
　SpreadingFlames,炎の散布（ほのおのさんぷ）,　6,4,　アンコモン,　インスタント,　６赤,望む数のクリーチャーを対象とする。炎の散布はそれらに６点のダメージを、あなたの望むように分割して与える。
　StensiaBanquet,ステンシアの晩餐（すてんしあのばんさん）,　6,4,　コモン,　ソーサリー,　２赤,対戦相手１人を対象とする。ステンシアの晩餐はそのプレイヤーに、あなたがコントロールする吸血鬼(Vampire)の総数に等しい点数のダメージを与える。カードを１枚引く。
　StensiaInnkeeper,ステンシアの亭主（すてんしあのていしゅ）,　3,3,　コモン,　クリーチャー,　３赤,ステンシアの亭主が戦場に出たとき、対戦相手がコントロールする土地１つを対象とし、それをタップする。その土地は、それのコントローラーの次のアンタップ・ステップにアンタップしない。
　StromkirkOccultist,流城の密教信者（りゅうじょうのみっきょうしんじゃ）,　3,2,　レア,　クリーチャー,　２赤,トランプル流城の密教信者がプレイヤー１人に戦闘ダメージを与えるたび、あなたのライブラリーの一番上のカードを追放する。ターン終了時まで、あなたはそのカードをプレイしてもよい。マッドネス(１)(赤)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　Thermo-Alchemist,熱錬金術師（ねつれんきんじゅつし）,　0,3,　コモン,　クリーチャー,　１赤,防衛(Ｔ)：熱錬金術師は各対戦相手にそれぞれ１点のダメージを与える。あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、熱錬金術師をアンタップする。
　DronepackKindred,ドローン群れの身内（どろーんむれのみうち）,　5,7,　コモン,　クリーチャー,　４赤,トランプル(赤)：ターン終了時まで、ヴィルディン群れの除けものは+1/-1の修整を受ける。(５)(赤)(赤)：ヴィルディン群れの除けものを変身させる。トランプル(１)：ターン終了時まで、ドローン群れの身内は+1/+0の修整を受ける。
　WeaverofLightning,稲妻織り（いなずまおり）,　1,4,　アンコモン,　クリーチャー,　２赤,到達あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、対戦相手がコントロールするクリーチャー１体を対象とする。稲妻織りはそれに１点のダメージを与える。
　BackwoodsSurvivalists,辺境林の生存者（へんきょうりんのせいぞんしゃ）,　4,3,　コモン,　クリーチャー,　３緑,昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、辺境林の生存者は+1/+1の修整を受けるとともにトランプルを持つ。
　Bloodbriar,血茨（ちいばら）,　2,3,　コモン,　クリーチャー,　２緑,あなたが他のパーマネントを１つ生け贄に捧げるたび、血茨の上に+1/+1カウンターを１個置く。
　ClearShot,直接射撃（ちょくせつしゃげき）,　2,3,　アンコモン,　インスタント,　２緑,あなたがコントロールするクリーチャー１体と、あなたがコントロールしていないクリーチャー１体を対象とする。ターン終了時まで、その前者は+1/+1の修整を受ける。その前者はその後者に、自身のパワーに等しい点数のダメージを与える。
　CropSigil,収穫の印章（しゅうかくのいんしょう）,　2,3,　アンコモン,　エンチャント,　緑,あなたのアップキープの開始時に、あなたは、あなたのライブラリーの一番上のカードをあなたの墓地に置いてもよい。昂揚―(２)(緑) 収穫の印章を生け贄に捧げる：あなたの墓地から、クリーチャー・カード最大１枚と土地カード最大１枚を対象とし、それらをあなたの手札に戻す。この能力は、あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるときにのみ起動できる。
　CrossroadsConsecrator,岐路の聖別者（きろのせいべつしゃ）,　1,2,　コモン,　クリーチャー,　緑,(緑) (Ｔ)：攻撃している人間(Human)１体を対象とする。ターン終了時まで、それは+1/+1の修整を受ける。
　EldritchEvolution,異界の進化（いかいのしんか）,　1,2,　レア,　ソーサリー,　１緑緑,異界の進化を唱えるための追加コストとして、クリーチャー１体を生け贄に捧げる。あなたのライブラリーから点数で見たマナ・コストがＸ以下のクリーチャー・カード１枚を探す。Ｘは、その生け贄に捧げたクリーチャーの点数で見たマナ・コストに２を足した数に等しい。そのカードを戦場に出し、その後あなたのライブラリーを切り直す。異界の進化を追放する。
　Emrakul'sEvangel,エムラクールの福音者（えむらくーるのふくいんしゃ）,　3,2,　レア,　クリーチャー,　２緑,(Ｔ) エムラクールの福音者と、望む数の他のエルドラージ(Eldrazi)でないクリーチャーを生け贄に捧げる：これにより生け贄に捧げられたクリーチャー１体につき、無色の3/2のエルドラージ・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。
　Emrakul'sInfluence,エムラクールの影響（えむらくーるのえいきょう）,　3,2,　アンコモン,　エンチャント,　２緑緑,あなたが点数で見たマナ・コストが７以上のエルドラージ(Eldrazi)・クリーチャー呪文を１つ唱えるたび、カードを２枚引く。
　FoulEmissary,邪悪の使者（じゃあくのししゃ）,　1,1,　アンコモン,　クリーチャー,　２緑,邪悪の使者が戦場に出たとき、あなたのライブラリーの一番上からカードを４枚見る。あなたはそれらの中からクリーチャー・カード１枚を公開してあなたの手札に加えてもよい。残りをあなたのライブラリーの一番下に望む順番で置く。あなたが現出を持つ呪文を唱える間に邪悪の使者を生け贄に捧げたとき、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。
　GnarlwoodDryad,節くれ木のドライアド（ふしくれぎのどらいあど）,　1,1,　アンコモン,　クリーチャー,　緑,接死昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、節くれ木のドライアドは+2/+2の修整を受ける。
　GrapplewiththePast,過去との取り組み（かことのとりくみ）,　1,1,　コモン,　インスタント,　１緑,あなたのライブラリーの一番上からカードを３枚あなたの墓地に置く。その後、あなたはあなたの墓地からクリーチャー・カード１枚か土地カード１枚をあなたの手札に戻してもよい。
　HamletCaptain,小村の隊長（しょうそんのたいちょう）,　2,2,　アンコモン,　クリーチャー,　１緑,小村の隊長が攻撃するかブロックするたび、ターン終了時まで、あなたがコントロールする他の人間(Human)は+1/+1の修整を受ける。
　Ishkanah Grafwidow,墓後家蜘蛛、イシュカナ（はかごけぐもいしゅかな）,　3,5,　神話レア,　伝説のクリーチャー,　４緑,到達昂揚―墓後家蜘蛛、イシュカナが戦場に出たとき、あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれる場合、到達を持つ緑の1/2の蜘蛛(Spider)クリーチャー・トークンを３体戦場に出す。(６)(黒)：対戦相手１人を対象とする。そのプレイヤーはあなたがコントロールする蜘蛛１体につき１点のライフを失う。
　SinuousPredator,しなやかな捕食者（しなやかなほしょくしゃ）,　4,4,　アンコモン,　クリーチャー,　緑,(４)(緑)：ケッシグをうろつくものを変身させる。しなやかな捕食者は、２体以上のクリーチャーによってはブロックされない。
　NooseConstrictor,首絞め（くびしめ）,　2,2,　アンコモン,　クリーチャー,　１緑,到達カード１枚を捨てる：ターン終了時まで、首絞めは+1/+1の修整を受ける。
　PermeatingMass,蔓延するもの（まんえんするもの）,　1,3,　レア,　クリーチャー,　緑,蔓延するものがクリーチャー１体に戦闘ダメージを与えるたび、そのクリーチャーは蔓延するもののコピーになる。
　PreyUpon,捕食（ほしょく）,　1,3,　コモン,　ソーサリー,　緑,あなたがコントロールするクリーチャー１体と、あなたがコントロールしていないクリーチャー１体を対象とする。その前者はその後者と格闘を行う。
　PrimalDruid,原初のドルイド（げんしょのどるいど）,　0,3,　コモン,　クリーチャー,　１緑,原初のドルイドが死亡したとき、あなたはあなたのライブラリーから基本土地カード１枚を探してもよい。そうしたなら、それをタップ状態で戦場に出し、その後あなたのライブラリーを切り直す。
　HowlingChorus,多重吠え（たじゅうぼえ）,　3,5,　アンコモン,　クリーチャー,　２緑,けたたましく吠えるものよりパワーの小さいクリーチャーでは、これをブロックできない。(５)(緑)：けたたましく吠えるものを変身させる。多重吠えよりパワーの小さいクリーチャーでは、これをブロックできない。多重吠えがプレイヤー１人に戦闘ダメージを与えるたび、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。
　SomberwaldStag,ソンバーワルドの雄鹿（そんばーわるどのおじか）,　4,3,　アンコモン,　クリーチャー,　３緑緑,ソンバーワルドの雄鹿が戦場に出たとき、あなたがコントロールしていないクリーチャー１体を対象とする。あなたは「このクリーチャーはそれと格闘を行う。」を選んでもよい。
　SpiritoftheHunt,狩りの精霊（かりのせいれい）,　3,3,　レア,　クリーチャー,　１緑緑,瞬速狩りの精霊が戦場に出たとき、ターン終了時まで、あなたがコントロールする他の狼(Wolf)か狼男(Werewolf)である各クリーチャーはそれぞれ+0/+3の修整を受ける。
　SplendidReclamation,見事な再生（みごとなさいせい）,　3,3,　レア,　ソーサリー,　３緑,あなたの墓地からすべての土地カードをタップ状態で戦場に戻す。
　SpringsageRitual,春の賢者の儀式（はるのけんじゃのぎしき）,　3,3,　コモン,　インスタント,　３緑,アーティファクト１つかエンチャント１つを対象とし、それを破壊する。あなたは４点のライフを得る。
　SwiftSpinner,敏捷な巣紡ぎ（びんしょうなすつむぎ）,　2,3,　コモン,　クリーチャー,　３緑,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）到達（このクリーチャーは飛行を持つクリーチャーをブロックできる。）
　FibrousEntangler,繊維質の絡み屋（せんいしつのからみや）,　4,6,　アンコモン,　クリーチャー,　２緑緑,各戦闘で、絡み爪の人狼は追加で１体のクリーチャーをブロックできる。(６)(緑)：絡み爪の人狼を変身させる。警戒繊維質の絡み屋は、可能ならブロックされなければならない。各戦闘で、繊維質の絡み屋は追加で１体のクリーチャーをブロックできる。
　UlvenwaldAbomination,ウルヴェンワルドの忌まわしきもの（うるう゛ぇんわるどのいまわしきもの）,　4,6,　コモン,　クリーチャー,　１緑,防衛(Ｔ)：あなたのマナ・プールに(緑)を加える。(５)(緑)(緑)：ウルヴェンワルドに囚われしものを変身させる。(Ｔ)：あなたのマナ・プールに(◇)(◇)を加える。
　UlvenwaldObserver,ウルヴェンワルドの観察者（うるう゛ぇんわるどのかんさつしゃ）,　6,6,　レア,　クリーチャー,　４緑緑,あなたがコントロールするタフネスが４以上のクリーチャーが１体死亡するたび、カードを１枚引く。
　WaxingMoon,満ちゆく月（みちゆくつき）,　6,6,　コモン,　インスタント,　１緑,あなたがコントロールする狼男(Werewolf)最大１体を対象とし、それを変身させる。ターン終了時まで、あなたがコントロールするクリーチャーはトランプルを得る。
　WolfkinBond,狼族の絆（おおかみぞくのきずな）,　6,6,　コモン,　エンチャント,　４緑,エンチャント（クリーチャー）狼族の絆が戦場に出たとき、緑の2/2の狼(Wolf)クリーチャー・トークンを１体戦場に出す。エンチャントされているクリーチャーは+2/+2の修整を受ける。
